username,count_activity
a0a71614d1cf646c59a8d83619eef08312cb653f,58289
70f5a1928f28ee894623fee672857cab11dbb95e,39639
7e3e17dbe574fe671cc7f06646275f9d474a0e39,32910
4aacacf6f89da15029d67dd20a59431c411a2e7f,28460
4112a6d42a87af18039c211d88bcdd7a905d2686,12434
5f0e63c242909998a28eaf2a5d1ec4eaff758183,10806
79c64dba6308e486f463f14505244468e5bdfab4,10362
756817966ea3918aa14ed2b50b2184cbbc2ccb81,9795
1592f2b17cd1f2422cf2c45dffc242ade4381126,8950
dc0681c5ae968859ebd8e067192c2a20b700f66f,8059
5ce4bb73674bef877e8d8613e9babd082b527134,7715
2778a48c25ae33f4a18ea7fb5a773000c1ccce3d,7713
56315a3373a49c7d5c4bd233522d1f03f60868e3,7697
e2bdfb4164fc8e660cfb1c26fff5906563341f4b,7067
d9a2e2daa9ec4d297afb0963ed49d562005e871e,6853
d94d05809481c37be2d95f664fec8542f137c342,6663
24c03808f83ae0bfd20673631fe2f1ae770c1aad,6615
cae670ea3c5d700c86390c7430eee60d65e87cf7,6596
4ff36b2cc9f2cef55c5fdac321fc7980efe59659,6227
ea174f9a77085075e71777b9c8f348685f8dc727,5632
c0e5731ac52a15af2ea4205202a12d72abc7bf12,5619
34773a504abdafeebacfa9b326c81c53588ae6da,5562
cd2a5bcff391118d8345cafc412d544cb06ddb38,5556
65226db383be0bebfdaba07e9d2e0bad75b52725,5507
8c903a58674e3e8da8b71fe87ce673f247c369ae,5201
16ece21e2fbc8d1c99a1094e7821f3e5020c4d5a,4849
212673af9b52a7e32438488151daf02159d2fa08,4830
988b19985f7f8e559f1e208c9a8575460ac07350,4755
79cd92040de66474da26d9c6c0188363a21d3af7,4750
0da7bb68bf6f29d10c5476af42de1f2c9c6ba153,4673
226465d2ed048eff23dad6eece905eff51f8e68b,4613
48dd35b2e453e5add836b660b1a5635a7d4c1f6b,4595
603103e46e623b187691a2979f86ccad150b473a,4538
8bd01ef64077f128e53a7074aa4ef51efa0c28f6,4520
996254471cc274346ae0a0e0cdf74501536195c7,4459
2ab1d8901a697ec3c31579d34757bdd69b75c632,4205
6e861f1b0ac13d1bdbed526b027073eaed63f536,4195
8f7fd2dd6eea5c3d4029174352d4644a6f6e5d02,4081
0267249d9a31469fee7f63d1078d0af0fd8bf7cc,3913
9736ae3510f147ae1337f923e8f9a2f5f83a5245,3824
3a1a618ec7b786320ebbafab1e286868987457e1,3669
f1ce2dc2015b765d4fc284f79f69a14cbba8c89a,3657
aecc5dc692ed58389144d8d89e217c71b8587bb3,3590
45723d1bc611aa3c7cad32f4ed253b636f9ee50d,3550
e915a1ded10243b0f5ddbcb0d3b9c997c6284a50,3533
e935c9a8f838fa29fbb40b3eb15ba64ff61d0a36,3528
cccbdc7021f723505b7ff9692fc50f4f14d799bf,3481
5f46735bda031a811b11c477e61cb245b304609a,3443
4092a251c813b913ac55a5be4e63b9fa2186baac,3433
ef162c5e36aa7bb2649b2f23534c88abd7ec1c31,3369
cd0fec8a0e5a48256e398485828e5d078b4cf446,3367
625a1fa1bf20d7eed1064272a40a4eae877a3e18,3323
216b86ab6ef38883458f6a3d596cefa23ba83237,3310
717809470889563156108ec2f1316c8745957933,3292
95f1bc7ca9909ea81e45211dd80e5cbc3e1f66e6,3218
d34d545c1e1092cac753ee9aa615c286e7df29c3,3210
db16a79b3d19899884d78865768e0691bd18591f,3177
1e1aabd9ee29be8ee23dc72abff0034f206c6bfa,3158
e6917b075e8e1855d0106ccf6afda6c7aea3d3d0,3121
a9a903ee1518e722ad9ca65beab990720eb0bc80,3109
d86ff20df8b08eef15d6ce553ae1117dbe8e6064,3096
d80a3de8e8405f6e9eac7e62594ed8d5c3d26fe4,3089
35ffaf325bccc9c9a65c096efee9cf3ce7497d92,3084
551b4f32ae8db1e00f4e75af0f732369f60e42d8,3078
f02f8325e5b4264315082868a77512acf129e380,3059
cd894f5c04be46a8ed96bf75e170f874e11b53ad,3055
39c8bd709fbe1d7fbf00c8ac9c6ea64dc928027d,3053
81124d485fb4b00508a39170f141a4b4d72f665d,2974
07f33d81e7e4f539fa69e002650212fb22c3a3a5,2973
c992ad4c13aebc7eb585c5754ba5a3dd3cb67747,2972
73ab19db65c93ae1cbd00f1cfdd6e9147ccb975e,2947
973a11112b494ee67d86972024e95b91765ba305,2942
ee6b1344fd507ef115fcd1ea521ee64fc6c56bb8,2927
a0a82c2606f86248a785f2c48014216892625b52,2922
dfa3a79420ee8529005fd9a6470ee8178041d7f5,2914
8c095788432b48b183dbbc787259c5fb4839f950,2855
041e3e98dbbeee7caad0a89aad42de7a3797e84e,2807
908a1622970bb6c3777f7eda9e4928eace673019,2794
17700194a0e42b60bf4395d159e161201885095c,2789
cd832747b553ab7aaa707a826fc15d706cee3149,2773
60341173c0acd71006b9361c009440b287843d8a,2727
733f5d98414ac3e91f688782002ceed25ab68ee9,2726
6cc1494ae808804733cf6ef34e036490af90c693,2706
2703aa186de9d1fca7112aa91e80c4894c1f1696,2701
3bdc4d56c73a038690d24d64efa853c4f9843d2d,2691
eb08ff4adcfa1212cf27665b74dd6ac7e42a5c5b,2688
